1 0.227014
2 0.205353
3 0.205925
4 0.204767
5 0.209638
6 0.208458
7 0.205670
8 0.209531
9 0.210455
10 0.210474
11 0.214720
12 0.205575
13 0.203637
14 0.205373
15 0.217894
16 0.204312
17 0.213840
18 0.205026
19 0.211340
20 0.208310
21 0.204473
22 0.204553
23 0.206291
24 0.205806
25 0.204174
26 0.206980
27 0.204439
28 0.203347
29 0.210577
30 0.204673
31 0.206864
32 0.206517
33 0.203122
34 0.204912
35 0.205839
36 0.208540
37 0.203572
38 0.206199
39 0.205581
40 0.203542
41 0.224168
42 0.239521
43 0.207348
44 0.211374
45 0.211320
46 0.207262
47 0.215259
48 0.217730
49 0.213335
50 0.208277
51 0.207238
52 0.218299
53 0.211172
54 0.207486
55 0.207873
56 0.206167
57 0.206411
58 0.208233
59 0.210328
60 0.207977
61 0.207537
62 0.209026
63 0.224305
64 0.231766
65 0.237489
66 0.208384
67 0.210095
68 0.252065
69 0.220848
70 0.274908
71 0.227233
72 0.215841
73 0.271621
74 0.211063
75 0.206584
76 0.207530
77 0.206955
78 0.207321
79 0.206884
80 0.207356
81 0.210230
82 0.207636
83 0.207679
84 0.206813
85 0.207055
86 0.212250
87 0.298517
88 0.230296
89 0.209927
90 0.208542
91 0.208579
92 0.207197
93 0.207280
94 0.208494
95 0.207263
96 0.209366
97 0.208556
98 0.207779
99 0.208702
100 0.207759
